#Diameters of Open Star Clusters
#
#van den Bergh S., 2006, Astron. J. 131, 1559 (2006AJ....131.1559V)
#
#Column contents:
#
#Name : cluster designation
#diameter : Cluster diameter in [pc]
#dist : Distance in [pc]
#Z : Distance from the galactic plane in [pc]
#EBV : Colour exces E(B-V) -- NOTE: some are missing this column, and not well separated below
#logt : logarithm of the age
#
#Name	diameter	dist	Z	EBV	logt
#
NGC_6067	5.77	1417	-55	0.38	8.08
NGC_6087	3.63	891	-84	0.18	7.98
NGC_6124	5.81	512	54	0.75	8.15
NGC_6134	1.59	913	-3	0.40	8.97
NGC_6167	2.26	1108	-28	0.78	7.89
NGC_6178	1.47	1014	21	0.22	7.25
NGC_6192	4.05	1547	57	0.64	8.13
NGC_6193	4.70	1155	-32	0.48	6.78
NGC_6200	8.36	2054	-38	0.58	6.93
NGC_6204	1.58	1085	-20	0.43	7.56
NGC_6208	4.92	939	-94	0.21	9.07
NGC_6216	5.00	4300	0	0.45	7.54
NGC_6231	5.06	1243	26	0.44	6.84
NGC_6242	2.96	1131	49	0.38	7.61
NGC_6249	1.43	981	-20	0.44	7.39
NGC_6250	2.52	865	29	0.35	7.42
NGC_6253	1.76	1510	-164	0.20	9.70
NGC_6259	4.20	1031	-27	0.50	8.34
NGC_6268	1.80	1029	23	0.39	7.24
NGC_6281	1.11	479	16	0.15	8.50
NGC_6318	2.68	2300	-28	1.20	6.30
NGC_6322	1.45	996	-53	0.59	7.06
NGC_6383	5.73	985	1	0.30	6.96
NGC_6396	1.04	1192	-37	0.93	7.51
NGC_6405	2.83	487	-7	0.14	7.97
NGC_6416	3.02	741	-20	0.25	8.09
NGC_6425	2.26	778	-22	0.40	7.35
NGC_6451	4.24	2080	-58	0.67	8.13
NGC_6475	7.00	301	-24	0.10	8.48
NGC_6494	5.30	628	31	0.36	8.48
NGC_6514	6.65	816	-4	0.19	7.37
NGC_6520	2.29	1577	-78	0.43	7.72
NGC_6530	5.42	1330	-31	0.33	6.87
NGC_6531	2.91	1205	-7	0.28	7.07
NGC_6546	3.82	938	-23	0.49	7.85
NGC_6603	6.28	3600	-82	0.79	8.30
NGC_6604	2.47	1696	50	0.97	6.81
NGC_6611	3.05	1749	24	0.78	6.88
NGC_6613	1.88	1296	-23	0.45	7.22
NGC_6618	9.45	1300	-17	1.51	6.00
NGC_6631	4.54	2600	-8	0.45	8.60
NGC_6633	2.19	376	54	0.18	8.63
NGC_6649	1.99	1369	-19	1.20	7.57
NGC_6664	4.06	1164	-6	0.71	7.16
NGC_6683	1.04	1197	-16	0.54	7.00
NGC_6694	3.26	1600	-81	0.59	7.93
NGC_6704	4.33	2974	-115	0.72	7.86
NGC_6705	7.10	1877	-91	0.43	8.30
NGC_6709	4.38	1075	88	0.30	8.18
NGC_6716	2.30	789	-131	0.22	7.96
NGC_6755	5.79	1421	-42	0.83	7.72
NGC_6756	1.75	1507	-44	1.18	7.79
NGC_6791	17.03	5853	1107	0.12	9.64
NGC_6802	1.63	1124	18	0.85	8.87
NGC_6811	4.95	1215	253	0.16	8.80
NGC_6819	3.43	2360	348	0.24	9.17
NGC_6823	3.30	1893	-5	0.84	6.82
NGC_6830	2.38	1639	-51	0.50	7.57
NGC_6834	3.01	2067	43	0.71	7.88
NGC_6866	5.91	1450	173	0.17	8.58
NGC_6871	13.28	1574	56	0.44	6.96
NGC_6885	1.74	597	-42	0.08	9.16
NGC_6910	3.31	1139	40	0.97	7.13
NGC_6913	3.34	1148	12	0.74	7.11
NGC_6939	3.45	1185	253	0.32	9.35
NGC_6940	5.60	770	-96	0.21	8.86
NGC_6994	1.62	620	-346	0.07	9.40
NGC_6996	1.44	620	1	0.54	8.00
NGC_7031	3.67	900	36	0.85	8.14
NGC_7036	1.16	1000	-366	0.10	9.50
NGC_7039	3.87	951	-28	0.13	7.82
NGC_7044	5.52	3161	-229	0.59	9.28
NGC_7062	2.15	1480	-71	0.45	8.46
NGC_7063	1.80	689	-118	0.09	7.98
NGC_7067	1.16	1332	-39	0.85	7.49
NGC_7082	10.49	1442	-73	0.24	8.23
NGC_7086	4.53	1298	5	0.81	8.14
NGC_7092	2.75	326	-13	0.01	8.44
NGC_7128	2.68	2307	17	1.02	7.25
NGC_7142	5.89	1686	278	0.40	9.28
NGC_7160	1.15	789	89	0.38	7.28
NGC_7209	4.76	1168	-149	0.17	8.62
NGC_7226	1.52	2616	-27	0.54	8.44
NGC_7235	4.11	2823	39	0.93	7.07
NGC_7243	6.82	808	-78	0.22	8.06
NGC_7245	3.06	2106	-68	0.47	8.25
NGC_7261	2.44	1681	27	0.97	7.67
NGC_7380	12.93	2222	-34	0.60	7.08
NGC_7419	2.01	1382	27	1.83	7.28
NGC_7510	3.62	2075	2	0.86	7.58
NGC_7654	6.20	1421	11	0.65	7.76
NGC_7762	3.03	744	76	0.71	8.42
NGC_7772	1.31	1500	-1047	0.03	9.17
NGC_7788	2.76	2374	-32	0.28	7.59
NGC_7789	16.99	2337	-219	0.22	9.24
NGC_7790	4.28	2944	-52	0.53	7.75
Pismis_1	5.15	5907	-73	0.58	7.93
Pismis_2	3.85	3310	-193	0.05	9.06
Pismis_3	2.03	1394	12	1.30	9.03
Pismis_4	4.31	593	-25	0.01	7.53
Pismis_5	0.51	869	14	0.42	7.20
Pismis_8	1.14	1312	-59	0.71	7.43
Pismis_11	1.63	2800	-20	1.25	7.34
Pismis_16	1.06	1824	22	0.56	7.84
Pismis_17	6.12	3504	9	0.47	7.02
Pismis_18	2.61	2240	8	0.50	9.08
Pismis_19	2.09	2400	-13	1.45	9.00
Pismis_20	2.35	2018	-42	1.18	6.86
Pismis_22	1.16	1000	-10	2.00	7.60
Pismis_23	0.76	2600	20	2.00	8.48
Pismis_24	2.90	1995	22	1.72	7.00
Pismis-Moreno_1	1.57	900	83	
Platais_1	3.69	1268	-36	0.36	8.24
Platais_2	19.61	201	-102	8.60
Platais_3	10.18	161	45	8.60
Platais_4	16.37	276	-52	8.00
Platais_5	23.71	272	-88	7.78
Platais_6	25.49	348	-38	7.78
Platais_8	35.94	132	-18	7.78
Platais_9	20.00	174	10	8.00
Platais_10	23.15	246	13	8.00
Platais_11	12.14	232	-15	8.30
Platais_12	14.03	402	-10	8.30
Roslund_3	2.13	1467	-120	0.35	8.04
Roslund_4	2.65	2510	-56	0.99	7.45
Roslund_5	5.66	389	2	0.10	7.83
Ruprecht_18	2.15	1056	-91	0.70	7.65
Ruprecht_20	1.76	1208	-121	0.10	8.50
