Name,RA_2000,Dec_2000,l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe/H,MRV,pm RA,pm Dec,Measures,Stars
Trumpler 15,10 44 43,-59 22 00,287.410,-0.369,1853,12.68,0.434,6.926,,-11.9,14.0,,,-7.71,+3.26,451,410
Trumpler 16,10 44 58,-59 43 00,287.624,-0.652,2673,13.66,0.493,6.788,O3,-30.4,10.0,,-20.00,,,397,397
ASCC 61,10 46 08,-56 51 36,286.41,1.94,1700,11.86,0.23,7.96,,57.5,38.4,,,-5.19,+3.19,101,101
Bochum 11,10 47 15,-60 05 00,288.025,-0.856,2412,13.70,0.576,6.764,,-36.0,21.0,,,,,5,5
Ruprecht 91,10 47 38,-57 28 12,286.87,1.49,900,9.80,0.01,8.63,,23.4,18.0,,7.30,-11.10,+03.11,86,86
Loden 189,10 50 20,-56 25 11,286.72,2.59,720,9.69,0.13,8.64,,32.5,33.6,,,-5.73,+02.91,85,85
ASCC 62,10 50 52,-60 05 59,288.43,-0.66,3000,13.13,0.24,7.50,,-34.6,33.6,,-4.05,-8.72,+1.68,78,78
ESO 128-16,10 53 41,-58 14 24,287.936,1.161,900,9.86,0.03,8.92,,18.2,19.0,,,-2.57,6.10,38,38
ASCC 63,10 55 51,-60 24 35,289.12,-0.67,3500,14.11,0.45,7.24,,-40.9,18.0,,-142.00,-5.63,+1.74,30,30
Trumpler 17,10 56 24,-59 12 00,288.669,0.449,2189,13.58,0.605,7.706,,17.2,5.0,,,-2.59,+2.88,20,20
Collinder 236,10 57 17,-61 06 36,289.58,-1.23,800,9.73,0.07,8.37,A0,-17.2,24.0,,,-3.57,+03.02,65,65
Bochum 12,10 57 24,-61 43 00,289.854,-1.775,2218,12.47,0.24,7.61,,-68.7,10.0,,,,,8,8
Hogg 9,10 58 22,-59 03 00,288.834,0.692,,,,,,,1.0,,,,,4,4
NGC 3496,10 59 36,-60 20 12,289.515,-0.411,990,11.43,0.469,8.471,,-7.1,8.0,,,-4.35,+3.10,11,9
Pismis 17,11 01 06,-59 49 00,289.469,0.139,3504,14.18,0.471,7.023,,8.5,6.0,,,,,4,4
ASCC 64,11 03 03,-60 55 11,290.14,-0.77,1500,11.35,0.15,7.92,,-20.2,21.6,,-8.33,-5.88,+1.44,49,49
Ruprecht 93,11 04 24,-61 22 06,290.470,-1.114,1437,11.50,0.229,8.193,,-27.9,7.0,,,,,24246,24246
NGC 3532,11 05 39,-58 45 12,289.571,1.347,486,8.55,0.037,8.492,B5,11.4,50.0,-0.02,+7.0,-10.95,+4.80,1168,731
Shorlin 1,11 05 46,-61 13 48,290.630,-0.903,12600,17.03,1.6,,,-41.0,0.8,,,,,7427,7422
Feinstein 1,11 05 56,-59 49 00,290.025,0.385,1159,11.56,0.40,7.00,OB,7.8,25.0,,,-5.19,+3.27,162,137
Loden 306,11 06 00,-61 07 48,290.55,-0.82,2000,12.25,0.24,6.76,,-28.6,24.0,,-33.00,-6.95,+00.34,69,69
vdBergh-Hagen 111,11 09 14,-63 49 48,291.95,-3.16,2700,12.93,0.25,8.35,,-148.8,13.2,,,-9.64,+00.95,7,7
Loden 309,11 09 39,-60 34 48,290.74,-0.14,600,9.67,0.25,8.63,,-1.5,10.8,,,-11.10,+01.85,15,15
NGC 3572,11 10 23,-60 14 54,290.705,0.202,1995,12.71,0.389,6.891,B0,7.0,5.0,,-4.1,,,21,21
Hogg 10,11 10 42,-60 24 00,290.798,0.077,1776,12.67,0.460,6.784,,2.4,3.0,,,,,3382,3372
ASCC 65,11 11 06,-61 07 11,291.11,-0.57,3500,13.96,0.40,7.09,,-34.8,26.4,,-13.40,-6.83,+0.88,77,77
Trumpler 18,11 11 28,-60 40 00,290.986,-0.135,1358,11.64,0.315,7.194,B2,-3.2,5.0,,,-8.17,+1.37,4402,4166
Hogg 11,11 11 37,-60 24 00,290.903,0.119,2270,12.77,0.32,7.08,,4.7,2.0,,,,,3292,3286
NGC 3590,11 12 59,-60 47 18,291.204,-0.178,1651,12.48,0.449,7.231,B3,-5.1,3.0,,,,,3489,3468
Hogg 12,11 13 01,-60 47 00,291.206,-0.172,,,0.04,7.93,,,4.0,,,,,6,6
Stock 13,11 13 05,-58 53 00,290.510,1.596,1577,11.66,0.218,7.222,B0,43.9,5.0,,,,,999,980
ASCC 66,11 13 37,-55 25 11,289.29,4.84,1000,10.31,0.10,7.76,,84.4,36.0,,,-13.76,+3.31,61,61
NGC 3603,11 15 07,-61 15 36,291.617,-0.522,3634,16.95,1.338,6.842,O3,-33.1,0.5,,,,,98,88
IC 2714,11 17 27,-62 44 00,292.402,-1.799,1238,11.52,0.341,8.542,,-38.9,14.0,-0.01,-14.1,,,39,39
Melotte 105,11 19 42,-63 29 00,292.904,-2.412,2208,13.21,0.482,8.316,,-92.9,5.0,,,,,18,18
NGC 3680,11 25 38,-43 14 36,286.764,16.919,938,10.07,0.066,9.077,,273.0,5.0,-0.09,+15.00,-5.86,+1.90,240,236
Ruprecht 94,11 30 43,-63 27 00,294.05,-1.98,3400,13.59,0.30,7.19,,-117.5,30.0,,2.00,-4.87,-0.15,58,58
Loden 372,11 30 54,-58 28 47,292.55,2.76,1200,11.64,0.40,8.55,,57.8,12.0,,,-10.55,-0.81,11,11
Loden 402,11 32 42,-60 43 12,293.44,0.70,2450,12.50,0.18,8.20,,29.9,18.0,,,-6.90,-0.53,34,34
NGC 3766,11 36 14,-61 36 30,294.117,-0.030,1745,11.75,0.175,7.160,B0,-0.9,5.0,,-19.00,-7.21,+1.33,241,216
IC 2944,11 37 53,-63 21 00,294.849,-1.654,1794,12.26,0.320,6.818,O8,-51.8,35.0,,-1.00,-6.05,-0.38,250,183
vdBergh-Hagen 121,11 38 06,-63 19 48,294.81,-1.62,2735,13.08,0.29,6.64,,-77.3,30.0,,-3.76,-5.12,+01.05,62,62
IC 2948,11 39 21,-63 28 47,294.99,-1.72,2600,13.00,0.30,6.75,,-78.0,9.6,,,-4.58,-0.35,12,12
ASCC 67,11 41 31,-61 01 12,294.56,0.71,1500,11.81,0.30,7.67,,18.6,24.0,,-18.60,-3.64,-0.77,50,50
Stock 14,11 43 48,-62 31 00,295.217,-0.662,2146,12.36,0.225,7.058,B0,-24.8,6.0,,-4.00,-5.93,+0.82,345,290
NGC 3960,11 50 33,-55 40 24,294.367,6.183,2258,12.70,0.302,8.822,,243.2,5.0,-0.17,-22.56,,,8643,6853
Ruprecht 96,11 50 38,-62 08 23,295.89,-0.10,860,10.45,0.25,9.00,,-1.5,14.4,,,-5.74,-0.03,10,10
Loden 481,11 51 57,-61 16 47,295.84,0.77,1520,11.65,0.24,8.19,,20.4,33.6,,-22.05,-3.87,+01.67,102,102
Loden 480,11 55 58,-58 24 00,295.70,3.69,1200,11.33,0.30,8.71,,77.2,18.0,,,-10.56,+02.94,22,22
Ruprecht 97,11 57 28,-62 43 00,296.792,-0.490,1357,11.37,0.229,8.343,,-11.6,5.0,,,,,22,22
Ruprecht 98,11 58 40,-64 35 00,297.306,-2.290,494,8.97,0.162,8.508,,-19.7,14.0,,,-7.25,-7.10,32,16
NGC 4052,12 01 12,-63 13 12,297.30,-0.90,1209,10.91,0.16,8.40,B3,-19.0,18.0,,,-6.63,-1.17,34,34
ASCC 68,12 02 56,-60 55 11,297.07,1.40,650,9.38,0.10,8.65,,15.9,24.0,,,-4.81,+3.71,69,69
Ruprecht 99,12 03 18,-63 52 48,297.66,-1.50,660,9.25,0.05,9.29,,-17.3,15.6,,,-7.90,-2.96,23,23
ASCC 69,12 06 35,-69 46 11,299.04,-7.23,1000,10.53,0.17,7.91,,-125.9,48.0,,2.00,-7.52,-0.64,78,78
NGC 4103,12 06 40,-61 15 00,297.574,1.155,1632,11.98,0.294,7.393,B0,32.9,6.0,,,-7.30,-0.13,2992,2699
ESO 130-06,12 07 46,-59 18 00,297.375,3.100,2200,12.08,0.12,8.33,,119.0,23.0,,,-10.80,-0.76,32,32
Loden 565,12 08 06,-60 43 12,297.65,1.71,650,9.69,0.20,8.05,,19.4,24.0,,10.10,-3.14,-0.96,27,27
ESO 130-08,12 10 19,-59 31 00,297.731,2.939,800,9.52,0.00,9.02,,41.0,24.0,,,-4.37,-1.18,45,45
ASCC 70,12 15 00,-64 25 48,299.01,-1.83,2700,13.24,0.35,6.92,,-86.2,36.0,,-7.75,-5.55,-0.32,67,67
Loden 615,12 20 38,-64 46 47,299.65,-2.10,1000,10.15,0.05,8.63,,-36.6,19.2,,,-6.97,-2.24,22,22
ASCC 71,12 20 42,-67 31 11,299.99,-4.82,1300,11.35,0.25,7.88,,-109.2,49.2,,,-7.73,-0.30,104,104
